,Region,Subregion,StationID,Turnout,Percentage
126,Республика Адыгея (Адыгея),Майкопская городская,УИК №127,0.5869682283252557,0.7247706422018348
127,Республика Адыгея (Адыгея),Майкопская городская,УИК №128,0.6362934362934363,0.7572815533980582
128,Республика Адыгея (Адыгея),Майкопская городская,УИК №129,0.5853881278538813,0.7223088923556942
129,Республика Адыгея (Адыгея),Майкопская городская,УИК №130,0.6847757422615287,0.764760147601476
130,Республика Адыгея (Адыгея),Майкопская городская,УИК №131,0.6085972850678733,0.7221189591078067
131,Республика Адыгея (Адыгея),Майкопская городская,УИК №132,0.5598330241187384,0.752278376139188
132,Республика Адыгея (Адыгея),Майкопская городская,УИК №133,0.6489451476793249,0.7841352405721717
133,Республика Адыгея (Адыгея),Майкопская городская,УИК №134,0.6310679611650486,0.7702564102564102
134,Республика Адыгея (Адыгея),Майкопская городская,УИК №135,0.6086956521739131,0.7371031746031746
135,Республика Адыгея (Адыгея),Майкопская городская,УИК №136,0.653169014084507,0.7592093441150045
136,Республика Адыгея (Адыгея),Майкопская городская,УИК №137,0.5764499121265377,0.7347560975609756
137,Республика Адыгея (Адыгея),Майкопская городская,УИК №138,0.6323060573857598,0.7361344537815127
138,Республика Адыгея (Адыгея),Майкопская городская,УИК №139,0.746782897467829,0.7292940522512507
139,Республика Адыгея (Адыгея),Майкопская городская,УИК №140,0.5754222481071637,0.7165991902834008
140,Республика Адыгея (Адыгея),Майкопская городская,УИК №141,0.5836376917457998,0.714017521902378
141,Республика Адыгея (Адыгея),Майкопская городская,УИК №142,0.5443207126948775,0.6710310965630114
142,Республика Адыгея (Адыгея),Майкопская городская,УИК №143,0.5221354166666666,0.7493765586034913
143,Республика Адыгея (Адыгея),Майкопская городская,УИК №144,0.5731884057971014,0.6864728192161821
144,Республика Адыгея (Адыгея),Майкопская городская,УИК №145,0.5718911917098446,0.7508493771234428
145,Республика Адыгея (Адыгея),Майкопская городская,УИК №146,0.6142953472690492,0.7091108671789242
146,Республика Адыгея (Адыгея),Майкопская городская,УИК №147,0.5585454545454546,0.6966145833333334
147,Республика Адыгея (Адыгея),Майкопская городская,УИК №148,0.5774647887323944,0.686411149825784
148,Республика Адыгея (Адыгея),Майкопская городская,УИК №149,0.5831473214285714,0.738755980861244
149,Республика Адыгея (Адыгея),Майкопская городская,УИК №150,0.6472760849492152,0.7710413694721826
150,Республика Адыгея (Адыгея),Майкопская городская,УИК №151,0.7344336084021005,0.7512768130745658
151,Республика Адыгея (Адыгея),Майкопская городская,УИК №152,0.55032021957914,0.7198669991687449
152,Республика Адыгея (Адыгея),Майкопская городская,УИК №153,0.5264097073518915,0.7403389830508474
153,Республика Адыгея (Адыгея),Майкопская городская,УИК №154,0.4834897462634689,0.7318475916606758
154,Республика Адыгея (Адыгея),Майкопская городская,УИК №155,0.6322498406628426,0.7278225806451613
155,Республика Адыгея (Адыгея),Майкопская городская,УИК №156,0.6257941550190598,0.7421319796954314
156,Республика Адыгея (Адыгея),Майкопская городская,УИК №157,0.535,0.705607476635514
157,Республика Адыгея (Адыгея),Майкопская городская,УИК №158,0.5756126718469815,0.6791277258566978
158,Республика Адыгея (Адыгея),Майкопская городская,УИК №159,0.5946348733233979,0.733500417710944
159,Республика Адыгея (Адыгея),Майкопская городская,УИК №160,0.6246105919003115,0.726932668329177
160,Республика Адыгея (Адыгея),Майкопская городская,УИК №161,0.6323240267400708,0.7487562189054726
161,Республика Адыгея (Адыгея),Майкопская городская,УИК №162,0.6397248495270851,0.6928763440860215
162,Республика Адыгея (Адыгея),Майкопская городская,УИК №163,0.6128735632183908,0.7134283570892723
163,Республика Адыгея (Адыгея),Майкопская городская,УИК №164,0.6962025316455697,0.8826446280991735
164,Республика Адыгея (Адыгея),Майкопская городская,УИК №165,0.6310679611650486,0.7046153846153846
165,Республика Адыгея (Адыгея),Майкопская городская,УИК №166,0.5195294117647059,0.7346014492753623
166,Республика Адыгея (Адыгея),Майкопская городская,УИК №167,0.5924672027084215,0.8192857142857143
167,Республика Адыгея (Адыгея),Майкопская городская,УИК №168,0.6094808126410836,0.7511111111111111
168,Республика Адыгея (Адыгея),Майкопская городская,УИК №169,0.6185897435897436,0.7454663212435233
169,Республика Адыгея (Адыгея),Майкопская городская,УИК №170,0.5207373271889401,0.7286135693215339
170,Республика Адыгея (Адыгея),Майкопская городская,УИК №171,0.5993690851735016,0.7273684210526316
171,Республика Адыгея (Адыгея),Майкопская городская,УИК №172,0.8841838581252262,0.8125255832992223
172,Республика Адыгея (Адыгея),Майкопская городская,УИК №173,0.7127605490594815,0.7261055634807418
173,Республика Адыгея (Адыгея),Майкопская городская,УИК №174,0.8062015503875969,0.8846153846153846
